date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:30	62922/62922	---M-Z	200	added ('OK')	text/html	etag:%22f5ca-66eed4e2-89836f72a27670be;gz%22	https://wpriverthemes.com/HTML/agznko/index.html	C:/Users/amjad/Music/GREEN%20ITZONE/wpriverthemes.com/HTML/agznko/index.html	(from )
22:03:31	114/114	---M-Z	200	added ('OK')	text/plain	date:Wed,%2009%20Oct%202024%2021:03:49%20GMT	https://wpriverthemes.com/robots.txt		(from )
22:03:31	835/835	---M-Z	200	added ('OK')	image/svg+xml	etag:%22343-66eed4e3-ecdd4f2c32ed30e7;gz%22	https://wpriverthemes.com/HTML/agznko/assets/img/favicon.svg	C:/Users/amjad/Music/GREEN%20ITZONE/wpriverthemes.com/HTML/agznko/assets/img/favicon.svg	(from https://wpriverthemes.com/HTML/agznko/index.html)
22:03:32	297514/297514	---M-Z	200	added ('OK')	text/css	etag:%2248a2a-66eed4e3-182f906c8f265e4b;gz%22	https://wpriverthemes.com/HTML/agznko/assets/css/bootstrap.min.css	C:/Users/amjad/Music/GREEN%20ITZONE/wpriverthemes.com/HTML/agznko/assets/css/bootstrap.min.css	(from https://wpriverthemes.com/HTML/agznko/index.html)
22:03:33	57095/57095	---M-Z	200	added ('OK')	text/css	etag:%22df07-66eed4e3-4505b297fe863814;gz%22	https://wpriverthemes.com/HTML/agznko/assets/css/animate.css	C:/Users/amjad/Music/GREEN%20ITZONE/wpriverthemes.com/HTML/agznko/assets/css/animate.css	(from https://wpriverthemes.com/HTML/agznko/index.html)
22:03:33	465729/465729	---M-Z	200	added ('OK')	text/css	etag:%2271b41-66eed4e3-98ad07d65da3fc06;gz%22	https://wpriverthemes.com/HTML/agznko/assets/css/all.min.css	C:/Users/amjad/Music/GREEN%20ITZONE/wpriverthemes.com/HTML/agznko/assets/css/all.min.css	(from https://wpriverthemes.com/HTML/agznko/index.html)
22:03:33	6955/6955	---M-Z	200	added ('OK')	text/css	etag:%221b2b-66eed4e3-607415959287c12d;gz%22	https://wpriverthemes.com/HTML/agznko/assets/css/magnific-popup.css	C:/Users/amjad/Music/GREEN%20ITZONE/wpriverthemes.com/HTML/agznko/assets/css/magnific-popup.css	(from https://wpriverthemes.com/HTML/agznko/index.html)
22:03:34	2915/2915	---M-Z	200	added ('OK')	text/css	etag:%22b63-66eed4e3-21170c18a083fd42;gz%22	https://wpriverthemes.com/HTML/agznko/assets/css/meanmenu.css	C:/Users/amjad/Music/GREEN%20ITZONE/wpriverthemes.com/HTML/agznko/assets/css/meanmenu.css	(from https://wpriverthemes.com/HTML/agznko/index.html)
22:03:34	16466/16466	---M-Z	200	added ('OK')	text/css	etag:%224052-66eed4e3-318b95f31879e9c0;gz%22	https://wpriverthemes.com/HTML/agznko/assets/css/swiper-bundle.min.css	C:/Users/amjad/Music/GREEN%20ITZONE/wpriverthemes.com/HTML/agznko/assets/css/swiper-bundle.min.css	(from https://wpriverthemes.com/HTML/agznko/index.html)
22:03:34	4011/4011	---M-Z	200	added ('OK')	text/css	etag:%22fab-66eed4e3-b9e125e14be17a2a;gz%22	https://wpriverthemes.com/HTML/agznko/assets/css/nice-select.css	C:/Users/amjad/Music/GREEN%20ITZONE/wpriverthemes.com/HTML/agznko/assets/css/nice-select.css	(from https://wpriverthemes.com/HTML/agznko/index.html)
22:03:34	0/0	---M--	200	added ('OK')	text/css	etag:%220-66eed4e3-bddb37762e05c798;;;%22	https://wpriverthemes.com/HTML/agznko/assets/css/color.css	C:/Users/amjad/Music/GREEN%20ITZONE/wpriverthemes.com/HTML/agznko/assets/css/color.css	(from https://wpriverthemes.com/HTML/agznko/index.html)
22:03:35	109490/109490	---M-Z	200	added ('OK')	text/css	etag:%221abb2-66eed4e3-2ee91f887252d950;gz%22	https://wpriverthemes.com/HTML/agznko/assets/css/main.css	C:/Users/amjad/Music/GREEN%20ITZONE/wpriverthemes.com/HTML/agznko/assets/css/main.css	(from https://wpriverthemes.com/HTML/agznko/index.html)
22:03:35	3146/3146	---M-Z	200	added ('OK')	image/svg+xml	etag:%22c4a-66eed4e3-7e55b534014697b9;gz%22	https://wpriverthemes.com/HTML/agznko/assets/img/logo/white-logo.svg	C:/Users/amjad/Music/GREEN%20ITZONE/wpriverthemes.com/HTML/agznko/assets/img/logo/white-logo.svg	(from https://wpriverthemes.com/HTML/agznko/index.html)
22:03:35	36500/36500	---M-Z	200	added ('OK')	text/html	etag:%228e94-66eed4e2-8e36efd75d0721b2;gz%22	https://wpriverthemes.com/HTML/agznko/contact.html	C:/Users/amjad/Music/GREEN%20ITZONE/wpriverthemes.com/HTML/agznko/contact.html	(from https://wpriverthemes.com/HTML/agznko/index.html)
22:03:35	50567/50567	---M--	200	added ('OK')	image/jpeg	etag:%22c587-66eed4e3-c5bbc62844563e9d;;;%22	https://wpriverthemes.com/HTML/agznko/assets/img/header/home-1.jpg	C:/Users/amjad/Music/GREEN%20ITZONE/wpriverthemes.com/HTML/agznko/assets/img/header/home-1.jpg	(from https://wpriverthemes.com/HTML/agznko/index.html)
22:03:36	60158/60158	---M-Z	200	added ('OK')	text/html	etag:%22eafe-66eed4e2-866d55d67a03c090;gz%22	https://wpriverthemes.com/HTML/agznko/index-one-page.html	C:/Users/amjad/Music/GREEN%20ITZONE/wpriverthemes.com/HTML/agznko/index-one-page.html	(from https://wpriverthemes.com/HTML/agznko/index.html)
22:03:36	41016/41016	---M--	200	added ('OK')	image/jpeg	etag:%22a038-66eed4e3-1f630cd74612694c;;;%22	https://wpriverthemes.com/HTML/agznko/assets/img/header/home-2.jpg	C:/Users/amjad/Music/GREEN%20ITZONE/wpriverthemes.com/HTML/agznko/assets/img/header/home-2.jpg	(from https://wpriverthemes.com/HTML/agznko/index.html)
22:03:36	59858/59858	---M-Z	200	added ('OK')	text/html	etag:%22e9d2-66eed4e2-b80edf8f95d0a70c;gz%22	https://wpriverthemes.com/HTML/agznko/index-2.html	C:/Users/amjad/Music/GREEN%20ITZONE/wpriverthemes.com/HTML/agznko/index-2.html	(from https://wpriverthemes.com/HTML/agznko/index.html)
22:03:36	57093/57093	---M-Z	200	added ('OK')	text/html	etag:%22df05-66eed4e2-26ac4f1b9892d425;gz%22	https://wpriverthemes.com/HTML/agznko/index-two-page.html	C:/Users/amjad/Music/GREEN%20ITZONE/wpriverthemes.com/HTML/agznko/index-two-page.html	(from https://wpriverthemes.com/HTML/agznko/index.html)
